City,Households,Housing Starts
ADAMS,3805,2
AMHERST,8940,23
BARNSTABLE,19505,344
BEVERLY,16115,98
BRIDGEWATER,7805,47
BROCKTON,32765,63
CAMBRIDGE,43800,307
CHELSEA,12290,48
CHICOPEE,22995,13
CLINTON,5645,24
EASTHAMPTON,7320,11
ERVING,750,2
FAIRHAVEN,6685,13
FALL RIVER,38765,88
FITCHBURG,14840,14
FRAMINGHAM,27030,375
GARDNER,8140,25
GLOUCESTER,12305,46
GREENFIELD,7730,16
HAVERHILL,23780,68
HOLYOKE,15325,1
LANCASTER,2330,18
LAWRENCE,26495,18
LEOMINSTER,16770,69
LOWELL,38490,39
LUDLOW,8095,29
LYNN,32405,97
MARLBOROUGH,15560,30
MEDFORD,22130,14
MELROSE,11350,5
METHUEN,17450,73
MILLBURY,5160,53
NEW BEDFORD,39140,33
NORTH ADAMS,6085,1
ORANGE,3250,0
NORTHAMPTON,11485,111
PALMER,4860,6
PEABODY,21650,38
PITTSFIELD,19260,5
PROVINCETOWN,1780,10
QUINCY,39475,121
RANDOLPH,12045,30
REVERE,20485,31
ROCKLAND,6515,4
ROYALSTON,505,1
SALEM,18030,5
SAUGUS,10110,10
SOMERSET,6875,0
SOMERVILLE,32180,214
SOUTH HADLEY,6915,12
SOUTHBRIDGE,6760,8
SPENCER,4655,0
SPRINGFIELD,55645,4
TAUNTON,22035,81
WARE,4065,8
WAREHAM,9125,34
WEBSTER,6670,0
WEST SPRINGFIELD,11495,17
WESTFIELD,14910,45
WINTHROP,7600,71
WORCESTER,68575,94