ID,Town,unemployed
27732801,MILLBURY,0.43
9210800,PEABODY,1.76
17321300,MARLBOROUGH,2.64
17321200,MARLBOROUGH,2.73
17351500,SOMERVILLE,2.79
9217400,BEVERLY,3.29
25040300,SOMERVILLE,3.31
27716200,LANCASTER,4.17
25160200,CHELSEA,4.22
25040801,CHARLESTOWN,4.45
9221400,GLOUCESTER,4.64
3922100,ADAMS,4.83
17339700,MEDFORD,4.87
9207000,LYNN,4.88
5630101,NORTH ATTLEBORO,4.92
15821602,FLORENCE,4.97
15820300,AMHERST,5.16
17383101,FRAMINGHAM,5.27
11040400,ERVING,5.49
5655300,FAIRHAVEN,5.61
23502200,ROCKLAND,5.65
25170702,REVERE,5.83
25180500,WINTHROP,6.03
9210700,SALEM,6.04
9260200,HAVERHILL,6.22
23510700,BROCKTON,6.23
13813207,FEEDING HILLS,6.35
17350103,SOMERVILLE,6.37
9207200,LYNN,6.43
17354900,CAMBRIDGE,6.52
27726200,SPENCER,6.53
9206800,LYNN,6.62
27732500,WORCESTER,6.68
27703200,ROYALSTON,6.7
15821100,SOUTH HADLEY,6.78
1011600,WEST HARWICH,6.87
3922300,ADAMS,7.06
5651800,NEW BEDFORD,7.06
27757300,SOUTHBRIDGE,7.09
9206100,LYNN,7.23
11041300,GREENFIELD,7.23
17342400,CHELSEA,7.24
27710700,FITCHBURG,7.24
11040100,NORTH ADAMS,7.28
27757100,SOUTHBRIDGE,7.33
21417901,QUINCY,7.43
17341300,MELROSE,7.87
9252300,METHUEN,7.94
1015300,BARNSTABLE,7.95
17311600,LOWELL,7.95
27754200,WEBSTER,8.08
5641200,FALL RIVER,8.09
21420202,RANDOLPH,8.09
13810403,LUDLOW,8.18
9204200,SALEM,8.23
27716300,CLINTON,8.23
15820102,WARE,8.5
1014500,EAST FALMOUTH,8.68
25170501,REVERE,8.68
9208102,SAUGUS,8.8
1010100,PROVINCETOWN,8.93
9260800,HAVERHILL,9.21
9221500,GLOUCESTER,9.22
21417701,QUINCY,9.42
27707300,GARDNER,9.42
23545400,WAREHAM,9.46
17341200,MEDFORD,9.74
13812702,WESTFIELD,9.84
27731300,WORCESTER,9.95
9252400,LAWRENCE,9.99
25160400,CHELSEA,10.01
27730500,WORCESTER,10.27
27709400,LEOMINSTER,10.29
11040502,ORANGE,10.47
3900200,PITTSFIELD,10.52
9250100,LAWRENCE,10.61
25090901,DORCHESTER,10.73
27709600,LEOMINSTER,10.73
27707200,GARDNER,10.77
25081200,JAMAICA PLAIN,10.9
23561200,BRIDGEWATER,10.93
13812300,WEST SPRINGFIELD,11.09
11040501,ORANGE,11.34
5613800,TAUNTON,11.4
13801700,SPRINGFIELD,11.49
11040701,TURNERS FALLS,11.5
27710600,FITCHBURG,11.58
15821903,NORTHAMPTON,11.6
9250800,LAWRENCE,11.87
17383102,FRAMINGHAM,12.01
5630102,ATTLEBORO FALLS,12.06
9204701,SALEM,12.15
17311700,LOWELL,12.15
13810300,PALMER,12.42
15822402,EASTHAMPTON,12.63
1012002,WEST YARMOUTH,12.72
13810800,CHICOPEE,12.79
13811700,HOLYOKE,13.06
23510503,BROCKTON,13.13
9251600,LAWRENCE,13.37
17311800,LOWELL,13.44
25080500,ROXBURY CROSSING,13.52
25060700,BOSTON,13.54
5644200,SOMERSET,13.66
25040200,CHARLESTOWN,13.75
21422502,EAST WEYMOUTH,13.87
17311900,LOWELL,14.25
17310100,LOWELL,14.39
3921400,NORTH ADAMS,14.59
13801200,SPRINGFIELD,14.59
11041400,GREENFIELD,15.32
5651200,NEW BEDFORD,15.53
5641101,FALL RIVER,15.76
27703100,ORANGE,15.88
27731400,WORCESTER,15.97
25061000,BOSTON,16.46
3935300,NORTH ADAMS,16.99
27731700,WORCESTER,17
9250300,LAWRENCE,17.36
21420301,RANDOLPH,17.86
5642000,FALL RIVER,18.23
5651300,NEW BEDFORD,21.15
5651900,NEW BEDFORD,21.5
13801902,SPRINGFIELD,21.64
13800900,SPRINGFIELD,21.65
13811400,HOLYOKE,21.71
13801101,SPRINGFIELD,22.43
25981100,MATTAPAN,22.62
3900100,PITTSFIELD,22.91
13801800,SPRINGFIELD,23.3
25061101,BOSTON,24.26
25080601,ROXBURY CROSSING,24.73
23511000,BROCKTON,25.36
23510900,BROCKTON,26.91
13800600,SPRINGFIELD,29.1
25980300,DORCHESTER,36.5